Time,T_ref_C,T_meas_C,PWM_percent,error_C
25.1 sec,50,36.0547724857902,100,14.041393086556
25.2 sec,50,36.1505533958471,100,13.9452275142098
25.3 sec,50,36.2459511822637,100,13.8494466041529
25.4 sec,50,36.3409673775346,100,13.7540488177363
25.5 sec,50,36.4356035080245,100,13.6590326224654
25.6 sec,50,36.5298610939924,100,13.5643964919755
25.7 sec,50,36.6237416496164,100,13.4701389060076
25.8 sec,50,36.7172466830179,100,13.3762583503836
25.9 sec,50,36.8103776962859,100,13.2827533169821
26 sec,50,36.9031361855007,100,13.1896223037141
26.1 sec,50,36.9955236407587,100,13.0968638144993
26.2 sec,50,37.0875415461957,100,13.0044763592413
26.3 sec,50,37.1791913800109,100,12.9124584538043
26.4 sec,50,37.2704746144909,100,12.8208086199891
26.5 sec,50,37.3613927160329,100,12.7295253855091
26.6 sec,50,37.4519471451688,100,12.6386072839671
26.7 sec,50,37.5421393565881,100,12.5480528548312
26.8 sec,50,37.6319707991618,100,12.4578606434119
26.9 sec,50,37.7214429159651,100,12.3680292008382
27 sec,50,37.8105571443012,100,12.2785570840349
27.1 sec,50,37.899314915724,100,12.1894428556988
27.2 sec,50,37.9877176560611,100,12.100685084276
27.3 sec,50,38.0757667854369,100,12.0122823439389
27.4 sec,50,38.1634637182951,100,11.9242332145631
27.5 sec,50,38.250809863422,100,11.8365362817049
27.6 sec,50,38.3378066239683,100,11.749190136578
27.7 sec,50,38.4244553974724,100,11.6621933760317
27.8 sec,50,38.5107575758825,100,11.5755446025276
27.9 sec,50,38.596714545579,100,11.4892424241175
28 sec,50,38.6823276873967,100,11.403285454421
28.1 sec,50,38.7675983766471,100,11.3176723126033
28.2 sec,50,38.8525279831405,100,11.2324016233529
28.3 sec,50,38.9371178712079,100,11.1474720168595
28.4 sec,50,39.0213693997231,100,11.0628821287921
28.5 sec,50,39.1052839221242,100,10.9786306002769
28.6 sec,50,39.1888627864357,100,10.8947160778758
28.7 sec,50,39.27210733529,100,10.8111372135643
28.8 sec,50,39.3550189059488,100,10.72789266471
28.9 sec,50,39.437598830325,100,10.6449810940512
29 sec,50,39.5198484350037,100,10.562401169675
29.1 sec,50,39.6017690412637,100,10.4801515649963
29.2 sec,50,39.6833619650986,100,10.3982309587363
29.3 sec,50,39.7646285172383,100,10.3166380349014
29.4 sec,50,39.8455700031693,100,10.2353714827617
29.5 sec,50,39.9255854298854,99.7490444703205,10.1544299968307
29.6 sec,50,40.0041071776262,99.2600372751434,10.0744145701146
29.7 sec,50,40.081167072961,98.7818016855526,9.9958928223738
29.8 sec,50,40.1567962567094,98.3141050167796,9.91883292703898
29.9 sec,50,40.2310251987297,97.8567196029416,9.84320374329056
30 sec,50,40.3038837123879,97.4094226887989,9.76897480127034
30.1 sec,50,40.3754009687155,96.9719963238475,9.69611628761214
30.2 sec,50,40.4456055102615,96.5442272586953,9.62459903128446
30.3 sec,50,40.5145252646453,96.1259068436733,9.55439448973846
30.4 sec,50,40.5821875578179,95.7168309296335,9.48547473535469
30.5 sec,50,40.6486191270367,95.3167997708859,9.41781244218215
30.6 sec,50,40.7138461335611,94.9256179302295,9.35138087296329
30.7 sec,50,40.7778941750733,94.5430941860309,9.28615386643889
30.8 sec,50,40.8407882978322,94.1690414413069,9.22210582492666
30.9 sec,50,40.9025530085643,93.8032766347687,9.15921170216782
31 sec,50,40.9632122860991,93.4456206537834,9.0974469914357
31.1 sec,50,41.0227895927528,93.0958982492133,9.03678771390088
31.2 sec,50,41.0813078854668,92.7539379520923,8.97721040724716
31.3 sec,50,41.138789626706,92.4195719920982,8.91869211453315
31.4 sec,50,41.1952567951219,92.0926362177842,8.86121037329399
31.5 sec,50,41.2507308959859,91.7729700185306,8.80474320487813
31.6 sec,50,41.3052329713975,91.4604162481789,8.74926910401414
31.7 sec,50,41.3587836102727,91.1548211503144,8.69476702860246
31.8 sec,50,41.411402958116,90.856034285159,8.64121638972729
31.9 sec,50,41.4631107265828,90.563908458041,8.588597041884
32 sec,50,41.5139262028351,90.2782996494076,8.53688927341717
32.1 sec,50,41.563868258695,89.9990669463471,8.48607379716492
32.2 sec,50,41.6129553596016,89.7260724755875,8.43613174130503
32.3 sec,50,41.6612055733743,89.4591813379404,8.38704464039839
32.4 sec,50,41.7086365787867,89.1982615441586,8.33879442662575
32.5 sec,50,41.7552656739568,88.9431839521769,8.29136342121326
32.6 sec,50,41.8011097845547,88.693822205707,8.24473432604319
32.7 sec,50,41.8461854718344,88.4500526741557,8.19889021544532
32.8 sec,50,41.8905089404923,88.2117543938401,8.15381452816556
32.9 sec,50,41.9340960463555,87.9788090104697,8.10949105950768
33 sec,50,41.9769623039049,87.7511007228691,8.06590395364452
33.1 sec,50,42.0191228936363,87.5285162279148,8.02303769609506
33.2 sec,50,42.0605926692618,87.3109446666593,7.98087710636369
33.3 sec,50,42.1013861647566,87.0982775716169,7.93940733073825
33.4 sec,50,42.141517601254,86.8904088151869,7.89861383524342
33.5 sec,50,42.181000893791,86.6872345591887,7.85848239874599
33.6 sec,50,42.219849657909,86.4886532054855,7.81899910620896
33.7 sec,50,42.2580772161118,86.2945653476729,7.78015034209096
33.8 sec,50,42.2956966041845,86.104873723809,7.74192278388818
33.9 sec,50,42.3327205773762,85.9194831701647,7.70430339581549
34 sec,50,42.369161616449,85.7383005759708,7.66727942262383
34.1 sec,50,42.4050319335971,85.5612348391414,7.630838383551
34.2 sec,50,42.4403434782378,85.3881968229523,7.59496806640286
34.3 sec,50,42.4751079426777,85.2190993136531,7.55965652176216
34.4 sec,50,42.5093367676565,85.0538569789944,7.52489205732234
34.5 sec,50,42.5430411477723,84.8923863276486,7.49066323234346
34.6 sec,50,42.576232036788,84.7346056695062,7.45695885222774
34.7 sec,50,42.6089201528252,84.5804350768285,7.42376796321201
34.8 sec,50,42.6411159834449,84.4297963462382,7.39107984717477
34.9 sec,50,42.6728297906188,84.2826129615292,7.3588840165551
35 sec,50,42.7040716155938,84.1388100572788,7.32717020938121
35.1 sec,50,42.7348512836512,83.9983143832449,7.29592838440622
35.2 sec,50,42.7651784087635,83.8610542695309,7.2651487163488
35.3 sec,50,42.7950623981504,83.7269595925012,7.23482159123653
35.4 sec,50,42.8245124567373,83.5959617414334,7.20493760184959
35.5 sec,50,42.8535375915164,83.4679935858877,7.17548754326275
35.6 sec,50,42.8821466158154,83.3429894437814,7.14646240848356
35.7 sec,50,42.9103481534725,83.2208850501521,7.11785338418456
35.8 sec,50,42.9381506429225,83.1016175265932,7.08965184652745
35.9 sec,50,42.965562341194,82.9851253513499,7.06184935707752
36 sec,50,42.9925913278214,82.8713483300596,7.03443765880597
36.1 sec,50,43.0192455086712,82.7602275671234,7.00740867217861
36.2 sec,50,43.045532619687,82.6517054376948,6.9807544913288
36.3 sec,50,43.0714602305529,82.5457255602733,6.95446738031301
36.4 sec,50,43.0970357482784,82.4422327698877,6.92853976944711
36.5 sec,50,43.1222664207058,82.3411730918594,6.90296425172158
36.6 sec,50,43.1471593399417,82.24249371613,6.87773357929424
36.7 sec,50,43.171721445715,82.1461429721438,6.85284066005835
36.8 sec,50,43.1959595286624,82.052070304271,6.82827855428497
36.9 sec,50,43.2198802335424,81.960226247762,6.80404047133758
37 sec,50,43.2434900623808,81.870562405219,6.7801197664576
37.1 sec,50,43.2667953775478,81.7830314235765,6.75650993761925
37.2 sec,50,43.2898024047694,81.6975869715768,6.73320462245219
37.3 sec,50,43.3125172360729,81.6141837177325,6.7101975952306
37.4 sec,50,43.3349458326696,81.5327773087635,6.68748276392711
37.5 sec,50,43.3570940277753,81.4533243484996,6.66505416733037
37.6 sec,50,43.3789675293696,81.3757823772372,6.64290597222465
37.7 sec,50,43.4005719228958,81.3001098515425,6.62103247063038
37.8 sec,50,43.421912673903,81.2262661244892,6.59942807710416
37.9 sec,50,43.4429951306306,81.1542114263232,6.57808732609697
38 sec,50,43.4638245265374,81.0839068455432,6.55700486936941
38.1 sec,50,43.4844059827762,81.0153143103909,6.53617547346263
38.2 sec,50,43.5047445106148,80.948396570739,6.51559401722384
38.3 sec,50,43.5248450138053,80.8831171803704,6.49525548938517
38.4 sec,50,43.5447122909012,80.8194404796399,6.47515498619475
38.5 sec,50,43.564351037526,80.7573315785091,6.45528770909883
38.6 sec,50,43.5837658485918,80.6967563399477,6.43564896247402
38.7 sec,50,43.6029612204702,80.6376813636926,6.41623415140825
38.8 sec,50,43.6219415531172,80.5800739703576,6.39703877952975
38.9 sec,50,43.6407111521509,80.5239021858851,6.37805844688278
39 sec,50,43.6592742308855,80.4691347263336,6.35928884784912
39.1 sec,50,43.6776349123211,80.4157409829935,6.34072576911453
